Id,Id2,Geography,Percent; EMPLOYMENT STATUS - Population 16 years and over - In labor force,Percent; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed,Estimate; INCOME AND BENEFITS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All people
0500000US01001,1001,"Autauga County, Alabama",63.4,5.3,52475,12.8
0500000US01003,1003,"Baldwin County, Alabama",60,5.1,50183,13.8
0500000US01005,1005,"Barbour County, Alabama",49.3,7,35634,24.1
0500000US01007,1007,"Bibb County, Alabama",48.3,5.3,37984,17
0500000US01009,1009,"Blount County, Alabama",54.2,5,44409,17.3
0500000US01011,1011,"Bullock County, Alabama",53.9,9.4,34804,20.5
0500000US01013,1013,"Butler County, Alabama",54.4,6.6,31571,25.9
0500000US01015,1015,"Calhoun County, Alabama",57.4,7.7,40919,21.7
0500000US01017,1017,"Chambers County, Alabama",54.8,6.9,32835,23.9
0500000US01019,1019,"Cherokee County, Alabama",54.2,5.2,34983,21
0500000US01021,1021,"Chilton County, Alabama",57.3,5.5,41785,18.8
0500000US01023,1023,"Choctaw County, Alabama",49.2,6.6,34325,21.5
0500000US01025,1025,"Clarke County, Alabama",51.3,10.2,30951,27
0500000US01027,1027,"Clay County, Alabama",52.1,5.7,35286,18.7
0500000US01029,1029,"Cleburne County, Alabama",54.3,4.7,37008,18.1
0500000US01031,1031,"Coffee County, Alabama",57.9,3.9,45558,18.8
0500000US01033,1033,"Colbert County, Alabama",53.6,5.3,39914,18.3
0500000US01035,1035,"Conecuh County, Alabama",47.3,12.6,24433,32.9
0500000US01037,1037,"Coosa County, Alabama",51.8,10.3,32340,20
0500000US01039,1039,"Covington County, Alabama",53.8,5.7,36256,20.1
0500000US01041,1041,"Crenshaw County, Alabama",56.9,6.1,37349,17.2
0500000US01043,1043,"Cullman County, Alabama",55.3,5,39415,18
0500000US01045,1045,"Dale County, Alabama",60.7,5.9,44473,18.7
0500000US01047,1047,"Dallas County, Alabama",52.1,9.4,26494,35.9
