"","complaint.category","Total Population","Census Measure","decile"
"1","other",8802,"educ_decile",1
"2","other",4198,"educ_decile",9
"3","parking",4939,"educ_decile",1
"4","noise",4389,"educ_decile",4
"5","other",5419,"educ_decile",3
"6","other",6911,"educ_decile",4
"7","noise",13002,"educ_decile",10
"8","other",2052,"educ_decile",8
"9","other",1615,"educ_decile",6
"10","other",4338,"educ_decile",7
"11","noise",3517,"educ_decile",5
"12","noise",6647,"educ_decile",10
"13","noise",3514,"educ_decile",3
"14","other",6507,"educ_decile",10
"15","noise",7708,"educ_decile",3
"16","other",5211,"educ_decile",5
"17","parking",2206,"educ_decile",6
"18","other",5678,"educ_decile",3
"19","household",5277,"educ_decile",9
"20","parking",1620,"educ_decile",7
"21","other",2603,"educ_decile",7
"22","household",4491,"educ_decile",3
"23","parking",2966,"educ_decile",8
"24","household",3097,"educ_decile",8
"25","noise",6647,"educ_decile",10
"26","other",6911,"educ_decile",4
"27","other",4971,"educ_decile",9
"28","other",3675,"educ_decile",7
"29","noise",3246,"educ_decile",3
"30","parking",3572,"educ_decile",5
"31","noise",9488,"educ_decile",9
"32","parking",13614,"educ_decile",10
"33","household",6442,"educ_decile",3
"34","parking",7567,"educ_decile",4
"35","noise",4204,"educ_decile",7
"36","parking",686,"educ_decile",10
"37","parking",7129,"educ_decile",4
"38","other",2085,"educ_decile",8
"39","other",4624,"educ_decile",8
"40","noise",9686,"educ_decile",9
"41","noise",1521,"educ_decile",9
"42","other",2755,"educ_decile",10
"43","noise",9686,"educ_decile",9
"44","noise",9686,"educ_decile",9
"45","other",3017,"educ_decile",8
"46","noise",9488,"educ_decile",9
"47","other",6270,"educ_decile",1
"48","other",5313,"educ_decile",1
"49","other",3967,"educ_decile",6
"50","other",3024,"educ_decile",2
"51","parking",3915,"educ_decile",2
"52","parking",6737,"educ_decile",4
"53","noise",15377,"educ_decile",10
"54","other",6939,"educ_decile",6
"55","household",6222,"educ_decile",1
"56","other",3828,"educ_decile",5
"57","other",8575,"educ_decile",4
"58","household",5819,"educ_decile",9
"59","other",5069,"educ_decile",4
"60","other",4598,"educ_decile",2
"61","household",4037,"educ_decile",5
"62","noise",3238,"educ_decile",9
"63","other",3174,"educ_decile",3
"64","household",7906,"educ_decile",5
"65","parking",3346,"educ_decile",5
"66","parking",2647,"educ_decile",3
"67","parking",1678,"educ_decile",5
"68","other",4598,"educ_decile",2
"69","parking",4542,"educ_decile",4
"70","noise",15377,"educ_decile",10
"71","other",3133,"educ_decile",1
"72","parking",4615,"educ_decile",6
"73","other",4624,"educ_decile",8
"74","noise",2564,"educ_decile",8
"75","other",2183,"educ_decile",2
"76","other",2885,"educ_decile",2
"77","noise",6647,"educ_decile",10
"78","other",2493,"educ_decile",6
"79","noise",1686,"educ_decile",10
"80","other",3306,"educ_decile",1
"81","other",4973,"educ_decile",10
"82","other",3310,"educ_decile",2
"83","other",4073,"educ_decile",3
"84","other",2295,"educ_decile",8
"85","parking",2426,"educ_decile",1
"86","other",4624,"educ_decile",8
"87","other",6933,"educ_decile",3
"88","other",3533,"educ_decile",3
"89","parking",1210,"educ_decile",8
"90","parking",3935,"educ_decile",8
"91","parking",6159,"educ_decile",2
"92","household",2776,"educ_decile",3
"93","household",5291,"educ_decile",7
"94","parking",3216,"educ_decile",5
"95","other",3306,"educ_decile",1
"96","parking",2979,"educ_decile",4
"97","other",8434,"educ_decile",5
"98","parking",3789,"educ_decile",7
"99","parking",6665,"educ_decile",2
"100","other",2343,"educ_decile",9
"101","collection",3453,"educ_decile",5
"102","other",8575,"educ_decile",4
"103","parking",3915,"educ_decile",2
"104","parking",4893,"educ_decile",7
"105","noise",4389,"educ_decile",4
"106","noise",3026,"educ_decile",6
"107","household",4598,"educ_decile",2
"108","other",3915,"educ_decile",2
"109","noise",26,"educ_decile",9
"110","other",3696,"educ_decile",5
"111","other",8078,"educ_decile",7
"112","other",2729,"educ_decile",7
"113","other",4073,"educ_decile",3
"114","other",4266,"educ_decile",10
"115","other",2885,"educ_decile",2
"116","other",4973,"educ_decile",10
"117","parking",4663,"educ_decile",2
"118","parking",4318,"educ_decile",6
"119","noise",4882,"educ_decile",9
"120","household",9633,"educ_decile",10
"121","household",5819,"educ_decile",9
"122","other",5441,"educ_decile",5
"123","parking",3482,"educ_decile",3
"124","other",3675,"educ_decile",7
"125","household",10588,"educ_decile",5
"126","household",3358,"educ_decile",9
"127","parking",2885,"educ_decile",2
"128","parking",3346,"educ_decile",5
"129","noise",4520,"educ_decile",8
"130","parking",1610,"educ_decile",9
"131","other",3553,"educ_decile",7
"132","other",2236,"educ_decile",8
"133","parking",2971,"educ_decile",6
"134","noise",5717,"educ_decile",1
"135","parking",5923,"educ_decile",4
"136","household",1844,"educ_decile",2
"137","other",793,"educ_decile",3
"138","other",2603,"educ_decile",7
"139","other",6629,"educ_decile",6
"140","other",2832,"educ_decile",8
"141","parking",2129,"educ_decile",1
"142","other",2426,"educ_decile",1
"143","noise",4043,"educ_decile",1
"144","noise",1521,"educ_decile",9
"145","household",5728,"educ_decile",1
"146","household",920,"educ_decile",8
"147","other",2700,"educ_decile",9
"148","household",1817,"educ_decile",9
"149","household",4598,"educ_decile",2
"150","other",2713,"educ_decile",3
"151","noise",9686,"educ_decile",9
