"","census","complaint.category","n","top"
"1","36005000200","collection",1,"no"
"2","36005000200","noise",5,"no"
"3","36005000200","other",8,"no"
"4","36005000400","household",1,"no"
"5","36005000400","noise",1,"no"
"6","36005000400","other",8,"no"
"7","36005000400","parking",3,"no"
"8","36005001600","household",2,"no"
"9","36005001600","noise",3,"no"
"10","36005001600","other",2,"no"
"11","36005001600","parking",1,"no"
"12","36005001900","household",3,"no"
"13","36005001900","other",13,"no"
"14","36005001900","parking",2,"no"
"15","36005002000","collection",1,"no"
"16","36005002000","household",1,"no"
"17","36005002000","noise",1,"no"
"18","36005002000","other",4,"no"
"19","36005002000","parking",3,"no"
"20","36005002300","household",1,"no"
"21","36005002300","noise",2,"no"
"22","36005002300","other",7,"no"
"23","36005002300","parking",1,"no"
"24","36005002500","household",1,"no"
"25","36005002500","noise",2,"no"
"26","36005002500","other",5,"no"
"27","36005002500","parking",1,"no"
"28","36005002701","noise",3,"no"
"29","36005002701","other",3,"no"
"30","36005002701","parking",1,"no"
"31","36005002702","household",4,"no"
"32","36005002702","noise",3,"no"
"33","36005002702","other",4,"no"
"34","36005002702","parking",2,"no"
"35","36005002800","other",3,"no"
"36","36005003100","other",2,"no"
"37","36005003300","household",2,"no"
"38","36005003300","noise",4,"no"
"39","36005003300","other",1,"no"
"40","36005003500","collection",1,"no"
"41","36005003500","household",3,"no"
"42","36005003500","noise",5,"no"
"43","36005003500","other",4,"no"
"44","36005003800","noise",3,"no"
"45","36005003800","other",1,"no"
"46","36005003800","parking",2,"no"
"47","36005003900","collection",2,"no"
"48","36005003900","household",3,"no"
"49","36005003900","noise",3,"no"
"50","36005003900","other",6,"no"
"51","36005004001","other",3,"no"
"52","36005004100","collection",2,"no"
"53","36005004100","household",2,"no"
"54","36005004100","noise",4,"no"
"55","36005004100","other",6,"no"
"56","36005004100","parking",1,"no"
"57","36005004200","household",1,"no"
"58","36005004200","noise",2,"no"
"59","36005004200","other",3,"no"
"60","36005004300","other",3,"no"
"61","36005004300","parking",1,"no"
"62","36005004400","noise",4,"no"
"63","36005004400","other",1,"no"
"64","36005004400","parking",1,"no"
"65","36005004800","household",7,"no"
